area,room,toilet,lat,long,price-VND,loai_bds-code
105,2,2,16.06435,108.15232,1750000000,15
150,0,0,15.99582,108.26936,10200000000,9
100,3,2,16.05676,108.16851,3550000000,15
56,3,2,16.03118,108.22733,3750000000,16
37,2,2,16.07146,108.22133,2890000000,15
94,0,0,15.98728,108.26717,3100000000,9
90,3,3,16.05116,108.21258,2800000000,15
92,0,0,15.9511,108.14006,590000000,9
75,3,2,16.01954,108.20758,4300000000,16
75,2,2,16.06774,108.21766,3500000000,15
72,2,2,15.98635,108.25687,2000000000,0
53,2,2,16.06002,108.21353,3050000000,15
65,3,4,16.04775,108.2427,5200000000,16
62,2,2,16.03851,108.24755,3400000000,0
82,2,2,16.03851,108.24755,4018000000,0
150,4,4,16.0929,108.24849,11500000000,16
144,3,4,16.08328,108.22888,10185000000,16
90,2,2,16.05827,108.174,1980000000,15
100,0,0,16.08933,108.14701,3209000000,7
75,3,4,16.0606,108.18981,11000000000,16
70,2,1,16.07309,108.16553,3000000000,16
68,0,0,16.04853,108.24549,8100000000,16
100,0,0,15.97759,108.23751,2050000000,7
106,3,2,16.08532,108.24269,7500000000,15
100,0,0,15.99107,108.23758,2400000000,9
39,2,2,16.07796,108.21949,1900000000,16
180,0,0,16.06306,108.24195,11160000000,9
72,0,0,16.06427,108.23062,8000000000,9
69,3,2,16.04361,108.20663,4000000000,16
142,0,0,16.05561,108.2387,9000000000,9
45,3,3,16.06063,108.21655,3100000000,15
90,0,0,15.97285,108.2425,1170000000,9
73,4,3,16.03358,108.21131,5100000000,16
60,3,3,16.07687,108.22035,4380000000,15
96,3,3,16.0598,108.23051,15000000,0
71,2,2,16.09512,108.13844,1350000000,15
97,3,4,16.03475,108.20878,9800000000,16
175,0,0,16.04404,108.22296,25000000000,16
82,2,2,16.03851,108.24755,2000000000,0
82,0,0,16.0724,108.16904,3100000000,16
86,4,3,16.05823,108.21715,3700000000,15
90,3,3,16.04082,108.21551,8500000000,16
102,0,0,15.98635,108.25687,2950000000,9
147,3,2,16.05085,108.24319,17000000000,16
82,2,2,16.03851,108.24755,4674000000,0
107,2,2,15.99582,108.26936,3500000000,0
164,0,0,16.0428,108.17073,6200000000,9
82,3,4,16.07224,108.24069,8200000000,14
62,2,2,16.05538,108.21877,3200000000,15
80,3,2,16.03195,108.22642,5100000000,16
97,2,1,16.04239,108.24358,6300000000,16
52,0,0,16.05504,108.23528,4650000000,16
121,3,3,16.03653,108.20808,10200000000,16
100,0,0,15.99107,108.23758,1800000000,7
57,0,0,16.08232,108.23979,4800000000,16
37,2,2,16.07243,108.20271,1750000000,15
90,0,0,16.06986,108.23666,10500000000,16
60,2,1,16.05812,108.18328,2700000000,15
90,2,2,16.04454,108.21522,11700000000,16
144,3,4,16.08328,108.22888,5200000000,16
125,3,2,16.06949,108.146,9250000000,16
63,0,0,16.06975,108.19176,4800000000,16
85,3,3,16.08428,108.15575,3550000000,15
40,2,2,16.0608,108.20521,2870000000,15
100,0,0,16.10663,108.25766,4650000000,9
100,0,0,16.01412,108.19179,12970000000,9
115,0,0,16.0501,108.20917,6900000000,16
70,0,0,16.07022,108.23294,6600000000,16
73,0,0,16.04744,108.24092,5200000000,9
50,3,2,16.06387,108.18914,2200000000,15
50,3,4,16.07371,108.21071,4550000000,16
58,2,2,16.05577,108.23296,4400000000,16
60,3,3,16.05676,108.16851,3350000000,15
42,3,3,16.08097,108.21884,3850000000,15
100,0,0,16.07422,108.13483,2400000000,9
80,0,0,16.08061,108.21562,9000000000,16
30,2,1,16.06791,108.20152,1940000000,15
70,3,3,16.07012,108.18489,3950000000,15
55,4,4,16.07146,108.22133,4800000000,15
60,2,3,16.0395,108.24862,3700000000,15
104,0,0,15.98635,108.25687,3149000000,7
55,3,3,16.05116,108.21258,4180000000,16
70,3,2,16.04454,108.21522,3400000000,15
62,1,1,16.03851,108.24755,3300000000,0
144,5,5,16.0734,108.22889,11500000000,16
90,0,0,16.02842,108.24583,3100000000,9
60,6,4,16.04925,108.24134,9000000000,16
90,0,0,16.08624,108.23973,7500000000,16
90,4,2,16.03099,108.22059,4400000000,16
140,0,0,16.04925,108.24134,11850000000,16
83,3,4,16.04454,108.21522,10000000000,16
84,4,4,16.02656,108.21183,6500000000,16
70,2,1,16.05704,108.17166,5100000000,16
72,2,2,16.0558,108.22367,6500000000,0
105,3,2,16.03851,108.24755,3500000000,0
102,0,0,16.05573,108.23339,7900000000,9
45,1,1,16.05762,108.23751,950000000,4
47,3,2,16.04739,108.18375,2500000000,15
40,3,3,16.05448,108.18343,2200000000,15
120,4,4,16.03189,108.22936,13900000000,16
60,3,2,16.05178,108.16988,2950000000,15
100,0,0,16.07743,108.16546,7000000000,9
77,3,4,16.02402,108.21324,6700000000,16
92,3,3,16.07899,108.2125,8000000000,16
63,1,1,16.05448,108.18343,3250000000,15
58,0,0,16.05638,108.24681,3680000000,9
100,3,3,16.00551,108.19843,4850000000,16
144,3,4,16.08328,108.22888,5200000000,16
125,2,1,16.06949,108.146,9300000000,16
115,0,0,16.0501,108.20917,6100000000,16
36,4,3,16.06702,108.20747,2750000000,15
85,3,2,16.04516,108.21677,6600000000,16
82,2,3,16.03851,108.24755,3000000000,0
56,3,2,16.07802,108.21446,3150000000,15
39,2,2,16.06791,108.20152,2500000000,15
32,2,2,16.06087,108.21717,1920000000,15
85,4,4,16.07798,108.15867,6250000000,14
89,4,4,16.059,108.22131,14000000000,16
60,2,2,16.05067,108.15756,2100000000,15
90,2,2,15.98635,108.25687,4000000000,16
62,0,0,16.0385,108.22306,6800000000,16
100,0,0,15.97666,108.23353,1850000000,9
50,3,2,16.06352,108.20856,3200000000,15
91,2,1,16.02051,108.21143,9650000000,16
73,3,2,16.03358,108.21131,4700000000,16
68,0,0,16.04591,108.22215,6500000000,16
73,0,0,16.05515,108.21731,3800000000,16
50,3,4,16.06433,108.19121,3390000000,15
57,3,2,16.06964,108.20322,3750000000,15
75,2,2,16.05448,108.18343,2750000000,16
30,2,2,16.06352,108.20856,1870000000,15
159,0,0,16.05448,108.18343,8100000000,16
80,4,4,16.05448,108.18343,5600000000,16
71,2,1,16.05448,108.18343,2450000000,15
60,3,4,16.05612,108.20621,6600000000,16
182,4,5,16.0231,108.24422,20900000000,14
96,0,0,16.03475,108.20878,7500000000,16
68,0,0,15.98635,108.25687,1700000000,0
65,1,1,16.0715,108.14323,900000000,16
90,0,0,16.06725,108.24281,13500000000,16
90,4,4,16.06076,108.16968,5300000000,16
45,2,2,16.06387,108.18914,2570000000,15
82,3,3,16.06509,108.22178,8300000000,15
82,2,2,16.03851,108.24755,4400000000,1
82,2,2,16.03851,108.24755,4700000000,1
100,0,0,16.01451,108.22781,3650000000,9
60,4,4,16.05676,108.16851,3400000000,15
