link,price,area,room,toilet,address
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/vip-ban-nha-4-tangx-50m2-moi-dep-k-mai-lao-bang-thuan-phuoc-hai-chau-id22148302,3 tỷ 550 triệu,150 m2,3 PN,4 WC,"Mai Lão Bạng, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/hang-hiem-ban-nha-3tang-x-65m2-k-oto-nguyen-phuoc-nguyen-thanh-khe-3-5-id22037095,3 tỷ 590 triệu,65 m2,3 PN,4 WC,"Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-hem-ngo/nong-ban-nha-2-tang-x-54m2-k-ong-ich-khiem-ngay-canh-bigc-trung-tam-tp-id22144545,2 tỷ 550 triệu,54 m2,3 PN,2 WC,"Ông Ích Khiêm, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-mat-tien-pho/ban-nha-mat-tien-nguyen-tri-phuong-gia-dau-tu-nha-3-5-tang-xay-id22139539,14 tỷ 200 triệu,125 m2,6 PN,6 WC,"Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-lien-chieu/mua-dat-kho-xuong/can-ban-kho-xuong-kcn-hoa-khanh-mo-rong-vi-tri-duong-10b-id22059909,28 tỷ,7800 m2,0 PN,0 WC,"Đường số 5, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ban-biet-thu-mat-song-2-mat-tien-7-sao-trung-tam-da-nang-id22152592,21 tỷ,300 m2,5 PN,5 WC,"Song Hào, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-cam-le/mua-nha-biet-thu-lien-ke/dao-vip-hoa-xuan-chao-ban-can-biet-thu-3-tang-duong-thong-nguyen-id22077466,20 tỷ,260 m2,4 PN,4 WC,"Nguyễn Đình Thi, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ban-biet-thu-bien-da-nang-so-huu-lau-dai-gan-san-golf-brg-427m2-3pn-id22136715,12 tỷ 500 triệu,427 m2,3 PN,3 WC,"Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-cam-le/mua-nha-biet-thu-lien-ke/ban-biet-thu-bien-da-nang-440-1m2-co-ho-boi-ke-ocean-villa-chi-15-4-ty-id22135334,15 tỷ 400 triệu,440 m2,3 PN,3 WC,"Cách Mạng Tháng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/can-tien-ban-biet-thu-view-san-golf-ven-bien-da-nang-250m2-3pn-11-ty-id22134388,11 tỷ,250 m2,3 PN,3 WC,"Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/ly-do-vi-sao-mua-biet-thu-one-river-da-nang-tai-thoi-diem-nay-id22130307,23 tỷ,300 m2,3 PN,3 WC,"Song Hào, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-nha-biet-thu-lien-ke/chu-ban-biet-thu-ven-bien-nam-da-nang-so-huu-lau-dai-427m2-chi-12-5-ty-id22123480,12 tỷ 500 triệu,427 m2,3 PN,3 WC,"Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-cam-le/mua-nha-mat-tien-pho/ban-shophouse-5-tang-105m2-doi-dien-dao-kim-cuong-hoa-xuan-gia-re-nhat-id22084835,11 tỷ,105 m2,5 PN,5 WC,"Cách Mạng Tháng 8, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/dinh-cu-my-can-ban-gap-can-shophouse-halla-jade-ven-song-han-gia-re-id22084671,10 tỷ 500 triệu,144 m2,7 PN,7 WC,"Đường 2 Tháng 9, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-thanh-khe/mua-nha-mat-tien-pho/ban-shophouse-phu-gia-compound-da-nang-da-co-so-gan-bien-re-500tr-id22078370,10 tỷ,144 m2,5 PN,4 WC,"Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/nhan-dat-cho-uu-tien-du-an-risemount-song-han-vi-tri-dep-ck-cao-id22027886,6 tỷ 200 triệu,92 m2,2 PN,2 WC,"Như Nguyệt, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-can-ho-chung-cu/ban-can-ho-alphanam-luxury-apartment-da-nang-2-phong-ngu-dien-tich-80m-id22027120,4 tỷ 300 triệu,80 m2,2 PN,2 WC,"Võ Văn Kiệt, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/sang-singapore-ban-can-ho-filmore-da-nang-2pn-51m2-song-han-re-300tr-id22026955,4 tỷ 500 triệu,51 m2,2 PN,2 WC,"Bạch Đằng, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-lien-chieu/mua-can-ho-chung-cu/dinh-cu-my-can-ban-can-ho-shizen-nami-2pn-62m2-view-bien-re-300-trieu-id22025693,4 tỷ,62 m2,2 PN,2 WC,"Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng"
https://mogi.vn/quan-lien-chieu/mua-can-ho-chung-cu/tung-gio-hang-ngoai-giao-tang-cao-can-ho-shizen-nami-gia-cuc-uu-dai-id22023887,5 tỷ,80 m2,2 PN,2 WC,"Nguyễn Tất Thành, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-can-ho-chung-cu/tung-gio-hang-dac-biet-cac-can-tang-cao-du-an-the-6nature-da-nang-id22022747,5 tỷ,80 m2,2 PN,2 WC,"Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/3-suat-ngoai-giao-cuoi-cung-can-ho-filmore-da-nang-view-song-han-ck-9-id22022697,6 tỷ 500 triệu,70 m2,2 PN,2 WC,"Bạch Đằng, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/chi-3-5-ty-so-huu-can-ho-2pn-du-an-aria-da-nang-hotel-resort-30-tang-id22019126,3 tỷ 500 triệu,107 m2,2 PN,2 WC,"Trường Sa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/co-hoi-the-ky-so-huu-can-ho-the-sang-residence-giam-gia-hon-1-ty-dong-id22013892,3 tỷ 500 triệu,105 m2,3 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/thua-ca-do-bong-da-can-ban-can-ho-the-sang-residence-3pn-105m2-gia-re-id22011073,4 tỷ,105 m2,3 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/thua-banh-ban-can-ho-the-sang-residence-3pn-105m2-view-bien-re-500tr-id22008323,4 tỷ 500 triệu,105 m2,3 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/gia-dinh-toi-di-nuoc-ngoai-dinh-cu-can-sang-gap-can-ho-filmore-2pn-80m-id22008292,7 tỷ,105 m2,2 PN,2 WC,"Bạch Đằng, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-dat-tho-cu/ket-tien-ban-lo-goc-2-mat-tien-ngo-quyen-va-man-quang-11-172m2-gia-re-id22117974,11 tỷ 500 triệu,172 m2,0 PN,0 WC,"Ngô Quyền, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/ngan-hang-phat-mai-ban-nha-4-tang-trung-tam-hai-chau-re-hon-3-ty-id22041828,13 tỷ 900 triệu,120 m2,4 PN,4 WC,"Trần Đăng Ninh, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-nha-mat-tien-pho/chiet-khau-4-ty-so-huu-ngay-shophouse-pho-di-bo-regal-pavillon-13-5-ty-id22041810,13 tỷ 500 triệu,120 m2,4 PN,4 WC,"Hoá Sơn 10, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/ket-tien-ban-can-ho-the-sang-residence-2pn-82m2-view-bien-gia-re-id22035605,3 tỷ 700 triệu,82 m2,2 PN,1 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-can-ho-chung-cu/the-tham-gia-vi-bank-di-ban-nhanh-can-ho-wyndham-soleil-view-bien-id22033602,4 tỷ,60 m2,2 PN,2 WC,"Phạm Văn Đồng, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/dinh-cu-uc-ban-can-ho-the-sang-residence-1pn-62m2-dong-nam-gia-re-nhat-id22034026,3 tỷ,62 m2,1 PN,1 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/dinh-cu-singapore-ban-can-ho-filmore-2pn-72m2-view-song-han-re-300tr-id22032499,6 tỷ 500 triệu,72 m2,2 PN,2 WC,"Bạch Đằng, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/thien-chi-ban-lo-500tr-can-ho-dat-vang-cao-cap-2-mat-tien-risemount-id22028684,4 tỷ 800 triệu,76 m2,2 PN,2 WC,"Như Nguyệt, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-hai-chau/mua-can-ho-chung-cu/ket-qua-ket-ban-lo-500-trieu-chung-cu-cao-cap-da-nang-risemount-1pn-id22027914,3 tỷ 400 triệu,53 m2,1 PN,1 WC,"Như Nguyệt, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/can-von-kinh-doanh-ban-can-ho-the-sang-residence-3pn-105m2-re-hon-300t-id22027018,4 tỷ 600 triệu,105 m2,3 PN,2 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
https://mogi.vn/quan-son-tra/mua-can-ho-chung-cu/can-tien-ban-can-ho-the-6nature-da-nang-2pn-60m2-view-bien-lo-500t-id22026989,4 tỷ,60 m2,2 PN,2 WC,"Võ Nguyên Giáp, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"
https://mogi.vn/quan-ngu-hanh-son/mua-can-ho-chung-cu/mo-ban-2-can-duplex-duy-nhat-trong-tong-209-can-ho-the-sang-residence-id22017353,12 tỷ,210 m2,5 PN,5 WC,"Phạm Kiệt, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"
